category,category_minor,authors,title,year,volume,issue,pages,url_abstract,url_extract,url_fulltext,url_fullpdf,url_abstract_is_duplicate,download_abstract,download_fullpdf,abstract_local_path,local_fullpdf_path,category_fullpdf,category_abstract_1_major,category_abstract_1_minor,category_abstract_2_major,category_abstract_2_minor,category_merged,keywords,warning
Physical Sciences,Biophysics and Computational Biology,"Dazhi Tan, Stefano Piana, Robert M. Dirks, David E. Shaw, Pablo Villegas, Raffaella Burioni, Miguel A. Muñoz",RNA force field with accuracy comparable to state-of-the-art protein force fields,2018,115,7,E1346-E1355,http://www.pnas.org/content/115/7/E1346.abstract,nan,http://www.pnas.org/content/115/7/E1346.full,http://www.pnas.org/content/115/7/E1346.full.pdf,nan,yes,nan,2018/E1346.abstract.txt,,,,,,,Biophysics and Computational Biology,"nucleicacid
","FILE : OK: .abstract.txt ,"
Physical Sciences,Biophysics and Computational Biology,"Serena di Santo, Pablo Villegas, Raffaella Burioni, Miguel A. Muñoz",Landau–Ginzburg theory of cortex dynamics: Scale-free avalanches emerge at the edge of synchronization,2018,115,7,E1356-E1365,http://www.pnas.org/content/115/7/E1356.abstract,nan,http://www.pnas.org/content/115/7/E1356.full,http://www.pnas.org/content/115/7/E1356.full.pdf,nan,yes,nan,2018/E1356.abstract.txt,,,,,,,Biophysics and Computational Biology,"corticaldynamics
","FILE : OK: .abstract.txt ,"
Physical Sciences,Chemistry,"Therese Triemer, Alessandra Messikommer, Stella M. K. Glasauer, Jawad Alzeer, Miriam H. Paulisch, Nathan W. Luedtke, Shaul Mukamel",Superresolution imaging of individual replication forks reveals unexpected prodrug resistance mechanism,2018,115,7,E1366-E1373,http://www.pnas.org/content/115/7/E1366.abstract,nan,http://www.pnas.org/content/115/7/E1366.full,http://www.pnas.org/content/115/7/E1366.full.pdf,nan,yes,nan,2018/E1366.abstract.txt,,,,,,,Chemistry,"nucleosidesandnucleotides
","FILE : OK: .abstract.txt ,"
Physical Sciences,Chemistry,"Konstantin E. Dorfman, Shaul Mukamel",Multidimensional photon correlation spectroscopy of cavity polaritons,2018,115,7,1451-1456,http://www.pnas.org/content/115/7/1451.abstract,nan,http://www.pnas.org/content/115/7/1451.full,http://www.pnas.org/content/115/7/1451.full.pdf,nan,yes,nan,2018/1451.abstract.txt,,,,,,,Chemistry,"multidimensionalspectroscopy
","FILE : OK: .abstract.txt ,"
Physical Sciences,Computer Sciences,"Carlo Baldassi, Riccardo Zecchina",Efficiency of quantum vs. classical annealing in nonconvex learning problems,2018,115,7,1457-1462,http://www.pnas.org/content/115/7/1457.abstract,nan,http://www.pnas.org/content/115/7/1457.full,http://www.pnas.org/content/115/7/1457.full.pdf,nan,yes,nan,2018/1457.abstract.txt,,,,,,,Computer Sciences,"nonconvexoptimization
","FILE : OK: .abstract.txt ,"
Physical Sciences,"Earth, Atmospheric, and Planetary Sciences","Alvise Finotello, Stefano Lanzoni, Massimiliano Ghinassi, Marco Marani, Andrea Rinaldo, Andrea D’Alpaos",Field migration rates of tidal meanders recapitulate fluvial morphodynamics,2018,115,7,1463-1468,http://www.pnas.org/content/115/7/1463.abstract,nan,http://www.pnas.org/content/115/7/1463.full,http://www.pnas.org/content/115/7/1463.full.pdf,nan,yes,nan,2018/1463.abstract.txt,,,,,,,"Earth, Atmospheric, and Planetary Sciences","meanderdynamics
","FILE : OK: .abstract.txt ,"
Physical Sciences,Engineering,"Luyao Lu, Philipp Gutruf, Li Xia, Dionnet L. Bhatti, Xinying Wang, Abraham Vazquez-Guardado, Xin Ning, Xinru Shen, Tian Sang, Rongxue Ma, Grace Pakeltis, Gabriel Sobczak, Hao Zhang, Dong-oh Seo, Mantian Xue, Lan Yin, Debashis Chanda, Xing Sheng, Michael R. Bruchas, John A. Rogers, Nidhi Pashine, Justin M. Wozniak, Heinrich M. Jaeger, Andrea J. Liu, Sidney R. Nagel, Juan J. de Pablo, Zewei Wang, Yanjie He, Young Jun Yoon, Jaehan Jung, Guangzhao Zhang, Zhiqun Lin, Fengyuan Yang, Tian Xi, Yong Zhang, John S. Ho",Wireless optoelectronic photometers for monitoring neuronal dynamics in the deep brain,2018,115,7,E1374-E1383,http://www.pnas.org/content/115/7/E1374.abstract,nan,http://www.pnas.org/content/115/7/E1374.full,http://www.pnas.org/content/115/7/E1374.full.pdf,nan,yes,nan,2018/E1374.abstract.txt,,,,,,,Engineering,"neuroscience
","FILE : OK: .abstract.txt ,"
Physical Sciences,Engineering,"Daniel R. Reid, Nidhi Pashine, Justin M. Wozniak, Heinrich M. Jaeger, Andrea J. Liu, Sidney R. Nagel, Juan J. de Pablo",Auxetic metamaterials from disordered networks,2018,115,7,E1384-E1390,http://www.pnas.org/content/115/7/E1384.abstract,nan,http://www.pnas.org/content/115/7/E1384.full,http://www.pnas.org/content/115/7/E1384.full.pdf,nan,yes,nan,2018/E1384.abstract.txt,,,,,,,Engineering,"auxetic
","FILE : OK: .abstract.txt ,"
Physical Sciences,Engineering,"Yihuang Chen, Zewei Wang, Yanjie He, Young Jun Yoon, Jaehan Jung, Guangzhao Zhang, Zhiqun Lin",Light-enabled reversible self-assembly and tunable optical properties of stable hairy nanoparticles,2018,115,7,E1391-E1400,http://www.pnas.org/content/115/7/E1391.abstract,nan,http://www.pnas.org/content/115/7/E1391.full,http://www.pnas.org/content/115/7/E1391.full.pdf,nan,yes,nan,2018/E1391.abstract.txt,,,,,,,Engineering,"nanoreactor
","FILE : OK: .abstract.txt ,"
Physical Sciences,Engineering,"Akshaya Bansal, Fengyuan Yang, Tian Xi, Yong Zhang, John S. Ho",In vivo wireless photonic photodynamic therapy,2018,115,7,1469-1474,http://www.pnas.org/content/115/7/1469.abstract,nan,http://www.pnas.org/content/115/7/1469.full,http://www.pnas.org/content/115/7/1469.full.pdf,nan,yes,nan,2018/1469.abstract.txt,,,,,,,Engineering,"photodynamictherapy
","FILE : OK: .abstract.txt ,"
Physical Sciences,Physics,"Adrian G. Swartz, Hisashi Inoue, Tyler A. Merz, Yasuyuki Hikita, Srinivas Raghu, Thomas P. Devereaux, Steven Johnston, Harold Y. Hwang",Polaronic behavior in a weak-coupling superconductor,2018,115,7,1475-1480,http://www.pnas.org/content/115/7/1475.abstract,nan,http://www.pnas.org/content/115/7/1475.full,http://www.pnas.org/content/115/7/1475.full.pdf,nan,yes,nan,2018/1475.abstract.txt,,,,,,,Physics,"superconductivity
","FILE : OK: .abstract.txt ,"
Physical Sciences,Statistics,"Hao Henry Zhou, Vikas Singh, Sterling C. Johnson, Grace Wahba, the Alzheimer’s Disease Neuroimaging Initiative",Statistical tests and identifiability conditions for pooling and analyzing multisite datasets,2018,115,7,1481-1486,http://www.pnas.org/content/115/7/1481.abstract,nan,http://www.pnas.org/content/115/7/1481.full,http://www.pnas.org/content/115/7/1481.full.pdf,nan,yes,nan,2018/1481.abstract.txt,,,,,,,Statistics,"multisiteanalysis
","FILE : OK: .abstract.txt ,"
Social Sciences,Psychological and Cognitive Sciences,"Phillip Hamrick, Jarrad A. G. Lum, Michael T. Ullman",Child first language and adult second language are both tied to general-purpose learning systems,2018,115,7,1487-1492,http://www.pnas.org/content/115/7/1487.abstract,nan,http://www.pnas.org/content/115/7/1487.full,http://www.pnas.org/content/115/7/1487.full.pdf,nan,yes,nan,2018/1487.abstract.txt,,,,,,,Psychological and Cognitive Sciences,"language
","FILE : OK: .abstract.txt ,"
Social Sciences,Psychological and Cognitive Sciences,Toshitaka N. Suzuki,Alarm calls evoke a visual search image of a predator in birds,2018,115,7,1541-1545,http://www.pnas.org/content/115/7/1541.abstract,nan,http://www.pnas.org/content/115/7/1541.full,http://www.pnas.org/content/115/7/1541.full.pdf,nan,yes,nan,2018/1541.abstract.txt,,,,,,,Psychological and Cognitive Sciences,"animalcommunication
","FILE : OK: .abstract.txt ,"
Social Sciences,Social Sciences,"Amol A. Verma, Marcia P. Jimenez, Rudolf H. Tangermann, S. V. Subramanian, Fahad Razak","Insecurity, polio vaccination rates, and polio incidence in northwest Pakistan",2018,115,7,1593-1598,http://www.pnas.org/content/115/7/1593.abstract,nan,http://www.pnas.org/content/115/7/1593.full,http://www.pnas.org/content/115/7/1593.full.pdf,nan,yes,nan,2018/1593.abstract.txt,,,,,,,Social Sciences,"polio
","FILE : OK: .abstract.txt ,"
Biological Sciences,Biochemistry,"Fumiaki Ohtake, Hikaru Tsuchiya, Yasushi Saeki, Keiji Tanaka, Alex Zelter, Michael J. MacCoss, Trisha N. Davis, Brad J. Nolen, Yixiao Zhang, Keith Hamilton, James L. Manley, Yongsheng Shi, Thomas Walz, Liang Tong, Bo Zhao, Fu-Yang Lin, Chafen Lu, Bruce N. Rogers, Timothy A. Springer, Stephan Krapp, Martin Augustin, Reiner Kierfersauer, Marcelino Arciniega, Ruth Geiss-Friedlander, Robert Huber",K63 ubiquitylation triggers proteasomal degradation by seeding branched ubiquitin chains,2018,115,7,E1401-E1408,http://www.pnas.org/content/115/7/E1401.abstract,nan,http://www.pnas.org/content/115/7/E1401.full,http://www.pnas.org/content/115/7/E1401.full.pdf,nan,yes,nan,2018/E1401.abstract.txt,,,,,,,Biochemistry,"ubiquitin
","FILE : OK: .abstract.txt ,"
Biological Sciences,Biochemistry,"Qing Luan, Alex Zelter, Michael J. MacCoss, Trisha N. Davis, Brad J. Nolen",Identification of Wiskott-Aldrich syndrome protein (WASP) binding sites on the branched actin filament nucleator Arp2/3 complex,2018,115,7,E1409-E1418,http://www.pnas.org/content/115/7/E1409.abstract,nan,http://www.pnas.org/content/115/7/E1409.full,http://www.pnas.org/content/115/7/E1409.full.pdf,nan,yes,nan,2018/E1409.abstract.txt,,,,,,,Biochemistry,"actin
","FILE : OK: .abstract.txt ,"
Biological Sciences,Biochemistry,"Yadong Sun, Yixiao Zhang, Keith Hamilton, James L. Manley, Yongsheng Shi, Thomas Walz, Liang Tong",Molecular basis for the recognition of the human AAUAAA polyadenylation signal,2018,115,7,E1419-E1428,http://www.pnas.org/content/115/7/E1419.abstract,nan,http://www.pnas.org/content/115/7/E1419.full,http://www.pnas.org/content/115/7/E1419.full.pdf,nan,yes,nan,2018/E1419.abstract.txt,,,,,,,Biochemistry,"pre-mRNA3′-endprocessing
","FILE : OK: .abstract.txt ,"
Biological Sciences,Biochemistry,"Xianchi Dong, Bo Zhao, Fu-Yang Lin, Chafen Lu, Bruce N. Rogers, Timothy A. Springer",High integrin α,2018,115,7,E1429-E1436,http://www.pnas.org/content/115/7/E1429.abstract,nan,http://www.pnas.org/content/115/7/E1429.full,http://www.pnas.org/content/115/7/E1429.full.pdf,nan,yes,nan,2018/E1429.abstract.txt,,,,,,,Biochemistry,"integrin
","FILE : OK: .abstract.txt ,"
Biological Sciences,Biochemistry,"Breyan Ross, Stephan Krapp, Martin Augustin, Reiner Kierfersauer, Marcelino Arciniega, Ruth Geiss-Friedlander, Robert Huber","Structures and mechanism of dipeptidyl peptidases 8 and 9, important players in cellular homeostasis and cancer",2018,115,7,E1437-E1445,http://www.pnas.org/content/115/7/E1437.abstract,nan,http://www.pnas.org/content/115/7/E1437.full,http://www.pnas.org/content/115/7/E1437.full.pdf,nan,yes,nan,2018/E1437.abstract.txt,,,,,,,Biochemistry,"DPP4
","FILE : OK: .abstract.txt ,"
Biological Sciences,Biophysics and Computational Biology,"Jialin Yao, Fan Yang, Xiaodong Sun, Shen Wang, Ninghai Gan, Qi Liu, Dingdong Liu, Xia Zhang, Dawen Niu, Yuquan Wei, Cong Ma, Zhao-Qing Luo, Qingxiang Sun, Da Jia, Ana V. Rojas, Gia G. Maisuradze, Harold A. Scheraga, Peter Lobel, Frederick R. Maxfield, Yang Li, Jun Ma, Ethan Garner, Xinzheng Zhang, Hao Wu, Satra Nim, Tracy A. Stone, Kyle Ethan Wang, Charles M. Deber, Philip M. Kim, Meishan Lin, Ke Tang, Jie Liang, Hammad Naveed",Mechanism of inhibition of retromer transport by the bacterial effector RidL,2018,115,7,E1446-E1454,http://www.pnas.org/content/115/7/E1446.abstract,nan,http://www.pnas.org/content/115/7/E1446.full,http://www.pnas.org/content/115/7/E1446.full.pdf,nan,yes,nan,2018/E1446.abstract.txt,,,,,,,Biophysics and Computational Biology,"vesiculartrafficking
","FILE : OK: .abstract.txt ,"
Biological Sciences,Biophysics and Computational Biology,"Santiago Solé-Domènech, Ana V. Rojas, Gia G. Maisuradze, Harold A. Scheraga, Peter Lobel, Frederick R. Maxfield",Lysosomal enzyme tripeptidyl peptidase 1 destabilizes fibrillar Aβ by multiple endoproteolytic cleavages within the β-sheet domain,2018,115,7,1493-1498,http://www.pnas.org/content/115/7/1493.abstract,nan,http://www.pnas.org/content/115/7/1493.full,http://www.pnas.org/content/115/7/1493.full.pdf,nan,yes,nan,2018/1493.abstract.txt,,,,,,,Biophysics and Computational Biology,"amyloid-betaplaques
","FILE : OK: .abstract.txt ,"
Biological Sciences,Biophysics and Computational Biology,"Liron David, Yang Li, Jun Ma, Ethan Garner, Xinzheng Zhang, Hao Wu",Assembly mechanism of the CARMA1–BCL10–MALT1–TRAF6 signalosome,2018,115,7,1499-1504,http://www.pnas.org/content/115/7/1499.abstract,nan,http://www.pnas.org/content/115/7/1499.full,http://www.pnas.org/content/115/7/1499.full.pdf,nan,yes,nan,2018/1499.abstract.txt,,,,,,,Biophysics and Computational Biology,"CARMA1–BCL10–MALT1
","FILE : OK: .abstract.txt ,"
Biological Sciences,Biophysics and Computational Biology,"Michael Garton, Satra Nim, Tracy A. Stone, Kyle Ethan Wang, Charles M. Deber, Philip M. Kim",Method to generate highly stable D-amino acid analogs of bioactive helical peptides using a mirror image of the entire PDB,2018,115,7,1505-1510,http://www.pnas.org/content/115/7/1505.abstract,nan,http://www.pnas.org/content/115/7/1505.full,http://www.pnas.org/content/115/7/1505.full.pdf,nan,yes,nan,2018/1505.abstract.txt,,,,,,,Biophysics and Computational Biology,"peptide
","FILE : OK: .abstract.txt ,"
Biological Sciences,Biophysics and Computational Biology,"Wei Tian, Meishan Lin, Ke Tang, Jie Liang, Hammad Naveed",High-resolution structure prediction of,2018,115,7,1511-1516,http://www.pnas.org/content/115/7/1511.abstract,nan,http://www.pnas.org/content/115/7/1511.full,http://www.pnas.org/content/115/7/1511.full.pdf,nan,yes,nan,2018/1511.abstract.txt,,,,,,,Biophysics and Computational Biology,"structureprediction
","FILE : OK: .abstract.txt ,"
Biological Sciences,Cell Biology,"Matthew T. Swulius, Lam T. Nguyen, Mark S. Ladinsky, Davi R. Ortega, Samya Aich, Mithilesh Mishra, Grant J. Jensen",Structure of the fission yeast actomyosin ring during constriction,2018,115,7,E1455-E1464,http://www.pnas.org/content/115/7/E1455.abstract,nan,http://www.pnas.org/content/115/7/E1455.full,http://www.pnas.org/content/115/7/E1455.full.pdf,nan,yes,nan,2018/E1455.abstract.txt,,,,,,,Cell Biology,"celldivision
","FILE : OK: .abstract.txt ,"
Biological Sciences,Cell Biology,"Shaoxun Xiang, Hao Gu, Lei Jin, Rick F. Thorne, Xu Dong Zhang, Mian Wu",LncRNA IDH1-AS1 links the functions of c-Myc and HIF1α via IDH1 to regulate the Warburg effect,2018,115,7,E1465-E1474,http://www.pnas.org/content/115/7/E1465.abstract,nan,http://www.pnas.org/content/115/7/E1465.full,http://www.pnas.org/content/115/7/E1465.full.pdf,nan,yes,nan,2018/E1465.abstract.txt,,,,,,,Cell Biology,"IDH1-AS1
","FILE : OK: .abstract.txt ,"
Biological Sciences,Cell Biology,"Wenjing Liu, Binbin Chen, Yang Wang, Chenling Meng, Huihui Huang, Xiao-Ru Huang, Jinzhong Qin, Shrikant R. Mulay, Hans-Joachim Anders, Andong Qiu, Baoxue Yang, Gordon J. Freeman, Hua Jenny Lu, Herbert Y. Lin, Zhi-Hua Zheng, Hui-Yao Lan, Yu Huang, Yin Xia",RGMb protects against acute kidney injury by inhibiting tubular cell necroptosis via an MLKL-dependent mechanism,2018,115,7,E1475-E1484,http://www.pnas.org/content/115/7/E1475.abstract,nan,http://www.pnas.org/content/115/7/E1475.full,http://www.pnas.org/content/115/7/E1475.full.pdf,nan,yes,nan,2018/E1475.abstract.txt,,,,,,,Cell Biology,"acutekidneyinjury
","FILE : OK: .abstract.txt ,"
Biological Sciences,Cell Biology,"Reed S. Sorenson, Malia J. Deshotel, Katrina Johnson, Frederick R. Adler, Leslie E. Sieburth","mRNA decay landscape arises from specialized RNA decay substrates, decapping-mediated feedback, and redundancy",2018,115,7,E1485-E1494,http://www.pnas.org/content/115/7/E1485.abstract,nan,http://www.pnas.org/content/115/7/E1485.full,http://www.pnas.org/content/115/7/E1485.full.pdf,nan,yes,nan,2018/E1485.abstract.txt,,,,,,,Cell Biology,"RNAdegradation
","FILE : OK: .abstract.txt ,"
Biological Sciences,Cell Biology,"Di Feng, Jacob Notbohm, Ava Benjamin, Shijie He, Minxian Wang, Lay-Hong Ang, Minaspi Bantawa, Mehdi Bouzid, Emanuela Del Gado, Ramaswamy Krishnan, Martin R. Pollak",Disease-causing mutation in α-actinin-4 promotes podocyte detachment through maladaptation to periodic stretch,2018,115,7,1517-1522,http://www.pnas.org/content/115/7/1517.abstract,nan,http://www.pnas.org/content/115/7/1517.full,http://www.pnas.org/content/115/7/1517.full.pdf,nan,yes,nan,2018/1517.abstract.txt,,,,,,,Cell Biology,"kidney
","FILE : OK: .abstract.txt ,"
Biological Sciences,Cell Biology,"Dipika Gupta, Bo Lin, Ann Cowan, Christopher D. Heinen",ATR-Chk1 activation mitigates replication stress caused by mismatch repair-dependent processing of DNA damage,2018,115,7,1523-1528,http://www.pnas.org/content/115/7/1523.abstract,nan,http://www.pnas.org/content/115/7/1523.full,http://www.pnas.org/content/115/7/1523.full.pdf,nan,yes,nan,2018/1523.abstract.txt,,,,,,,Cell Biology,"DNAmismatchrepair
","FILE : OK: .abstract.txt ,"
Biological Sciences,Cell Biology,"Donytra Arby Wardhana, Koji Ikeda, Agian Jeffilano Barinda, Dhite Bayu Nugroho, Kikid Rucira Qurania, Keiko Yagi, Keishi Miyata, Yuichi Oike, Ken-ichi Hirata, Noriaki Emoto","Family with sequence similarity 13, member A modulates adipocyte insulin signaling and preserves systemic metabolic homeostasis",2018,115,7,1529-1534,http://www.pnas.org/content/115/7/1529.abstract,nan,http://www.pnas.org/content/115/7/1529.full,http://www.pnas.org/content/115/7/1529.full.pdf,nan,yes,nan,2018/1529.abstract.txt,,,,,,,Cell Biology,"adipocyte
","FILE : OK: .abstract.txt ,"
Biological Sciences,Developmental Biology,"Yimin Fang, Cristal M. Hill, Justin Darcy, Adriana Reyes-Ordoñez, Edwin Arauz, Samuel McFadden, Chi Zhang, Jared Osland, John Gao, Tian Zhang, Stuart J. Frank, Martin A. Javors, Rong Yuan, John J. Kopchick, Liou Y. Sun, Jie Chen, Andrzej Bartke, Young-Joon Kim, Michael E. Adams",Effects of rapamycin on growth hormone receptor knockout mice,2018,115,7,E1495-E1503,http://www.pnas.org/content/115/7/E1495.abstract,nan,http://www.pnas.org/content/115/7/E1495.full,http://www.pnas.org/content/115/7/E1495.full.pdf,nan,yes,nan,2018/E1495.abstract.txt,,,,,,,Developmental Biology,"mTORC2
","FILE : OK: .abstract.txt ,"
Biological Sciences,Developmental Biology,"Do-Hyoung Kim, Young-Joon Kim, Michael E. Adams",Endocrine regulation of airway clearance in,2018,115,7,1535-1540,http://www.pnas.org/content/115/7/1535.abstract,nan,http://www.pnas.org/content/115/7/1535.full,http://www.pnas.org/content/115/7/1535.full.pdf,nan,yes,nan,2018/1535.abstract.txt,,,,,,,Developmental Biology,"Kinin
","FILE : OK: .abstract.txt ,"
Biological Sciences,Ecology,"Alexander P. Boast, Laura S. Weyrich, Jamie R. Wood, Jessica L. Metcalf, Rob Knight, Alan Cooper",Coprolites reveal ecological interactions lost with the extinction of New Zealand birds,2018,115,7,1546-1551,http://www.pnas.org/content/115/7/1546.abstract,nan,http://www.pnas.org/content/115/7/1546.full,http://www.pnas.org/content/115/7/1546.full.pdf,nan,yes,nan,2018/1546.abstract.txt,,,,,,,Ecology,"ancientDNA
","FILE : OK: .abstract.txt ,"
Biological Sciences,Evolution,"István Zachar, András Szilágyi, Szabolcs Számadó, Eörs Szathmáry, Joanne Cable, Ryan S. Mohammed, Magdalena Herdegen-Radwan, Jarosław Raubic, Karolina J. Przesmycka, Cock van Oosterhout, Jacek Radwan",Farming the mitochondrial ancestor as a model of endosymbiotic establishment by natural selection,2018,115,7,E1504-E1510,http://www.pnas.org/content/115/7/E1504.abstract,nan,http://www.pnas.org/content/115/7/E1504.full,http://www.pnas.org/content/115/7/E1504.full.pdf,nan,yes,nan,2018/E1504.abstract.txt,,,,,,,Evolution,"mitochondrialorigin
","FILE : OK: .abstract.txt ,"
